Postcode,Avg asking price,Avg blended ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂª/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),Avg yield,3yr,Crime rate,Avg. household income,Social rent
NG16 6,"225,388",212,10,13%,,,14%,85,"38,200",12%
NG17 1,"241,167",207,4,11%,,,7%,185,"37,800",12%
NG17 2,"209,904",197,9,10%,,,-5%,104,"34,900",13%
NG17 3,"268,832",215,9,10%,,,-15%,90,"35,300",5%
NG17 4,"177,713",176,12,23%,733,5.00%,3%,140,"37,000",17%
NG17 5,"207,398",195,6,18%,,,5%,118,"33,600",20%
NG17 7,"206,141",174,8,22%,,,12%,140,"36,300",16%
NG17 8,"238,662",205,8,13%,,,19%,92,"36,400",11%
NG17 9,"213,786",208,8,32%,,,19%,68,"39,700",16%
NG18 1,,121,,,,,,"1,903","35,500",18%
NG18 2,"180,828",168,7,14%,755,5.00%,-2%,262,"35,400",22%
NG18 3,"225,806",217,7,16%,,,5%,128,"38,600",37%
NG18 4,"275,964",221,8,9%,,,14%,121,"47,700",30%
NG18 5,"222,347",180,9,21%,756,4.10%,-3%,178,"38,900",7%
NG19 0,"243,174",216,11,14%,,,11%,72,"40,000",5%
NG19 6,"202,646",193,8,11%,,,5%,89,"36,500",18%
NG19 7,"220,662",189,10,20%,,,8%,121,"36,000",11%
NG19 8,"189,650",185,12,32%,809,5.10%,11%,87,"37,100",20%
NG19 9,"214,217",202,6,14%,,,18%,70,"37,800",7%
NG2 2,"210,779",205,4,26%,"1,410",8.00%,8%,184,"37,800",22%
NG2 3,"174,719",244,2,5%,"1,082",7.40%,-15%,261,"41,700",44%
NG2 4,"190,206",205,7,19%,"1,134",7.20%,8%,191,"35,000",22%
NG2 5,"374,161",347,9,17%,"1,740",5.60%,18%,67,"58,600",6%
NG2 6,"400,231",341,10,17%,"1,400",4.20%,10%,74,"54,800",7%
NG2 7,"401,468",344,15,18%,"1,512",4.50%,3%,58,"52,900",5%
NG20 0,"218,510",184,8,10%,,,21%,86,"33,400",12%
NG20 8,"173,414",164,7,11%,,,2%,138,"35,500",22%
NG20 9,"175,837",189,5,10%,,,17%,111,"35,900",15%
NG21 0,"222,010",207,9,12%,,,18%,77,"36,700",17%
NG21 9,"276,061",222,12,13%,,,5%,85,"41,200",7%
NG22 0,"375,653",222,4,5%,,,11%,67,"42,500",5%
NG22 8,"306,815",257,6,9%,,,8%,55,"44,100",4%
NG22 9,"208,960",200,9,11%,737,4.20%,6%,96,"36,100",10%
NG23 5,"490,928",271,6,9%,,,13%,36,"46,600",5%
NG23 6,"413,499",239,4,6%,,,15%,47,"45,900",6%
NG23 7,"449,676",269,4,8%,,,3%,32,"44,300",4%
NG24 1,"189,359",196,8,14%,689,4.40%,9%,310,"38,600",10%
NG24 2,"274,157",234,11,21%,,,13%,70,"40,200",8%
NG24 3,"254,966",235,17,14%,793,3.70%,4%,77,"41,200",9%
NG24 4,"224,426",212,13,18%,,,4%,141,"38,500",17%
NG24 5,,276,,,,,,,,4%
NG25 0,"429,300",329,8,12%,,,2%,36,"45,900",4%
NG3 1,,200,2,17%,"2,071",,26%,126,"27,100",45%
NG3 2,"179,444",200,4,17%,,,11%,175,"33,200",32%
NG3 3,"188,036",191,6,27%,,,13%,123,"35,400",46%
NG3 4,,181,2,17%,858,,5%,118,"34,800",40%
NG3 5,"276,945",262,11,11%,"1,034",4.50%,,97,"46,400",15%
NG3 6,"295,890",267,10,14%,"1,187",4.80%,21%,50,"43,800",7%
NG3 7,"235,714",236,4,18%,,,13%,78,"36,700",17%
NG31 6,"147,781",138,5,18%,693,5.60%,-24%,449,"40,200",22%
NG31 7,"198,167",192,10,20%,829,5.00%,14%,102,"36,700",21%
NG31 8,"283,931",247,18,18%,,,5%,47,"41,800",8%
NG31 9,"252,387",228,10,14%,,,17%,81,"40,100",4%
NG32 1,"425,902",272,2,7%,,,15%,52,"43,900",13%
NG32 2,"482,321",254,5,30%,,,-11%,55,"44,100",7%
NG32 3,"382,787",256,3,7%,,,9%,40,"44,700",9%
NG33 4,"362,202",260,4,6%,,,3%,41,"45,400",9%
NG33 5,"352,497",235,5,9%,,,2%,74,"42,600",12%
NG34 0,"406,082",227,4,6%,,,12%,37,"42,100",11%
NG34 7,"240,082",223,13,11%,,,9%,124,"40,000",19%
NG34 8,"275,155",234,11,9%,,,7%,59,"44,900",8%
NG34 9,"281,389",237,11,9%,,,11%,49,"41,900",10%
NG4 1,"245,332",240,13,24%,,,18%,65,"38,300",11%
NG4 2,"234,976",226,9,21%,,,2%,119,"37,900",12%
NG4 3,"246,596",246,8,14%,,,13%,49,"40,200",10%
NG4 4,"299,651",266,9,11%,,,1%,46,"42,700",8%
NG5 1,"206,714",222,8,18%,992,5.80%,13%,122,"38,000",15%
NG5 2,"263,333",225,8,22%,872,4.00%,13%,163,"44,800",12%
NG5 3,"265,294",228,4,20%,,,13%,108,"42,100",14%
NG5 4,"320,926",273,7,14%,,,12%,75,"49,200",10%
NG5 5,"198,415",214,11,25%,"1,016",6.10%,25%,120,"35,100",30%
NG5 6,"227,159",250,8,13%,,,15%,102,"41,200",9%
NG5 7,"231,167",239,6,14%,,,17%,96,"39,100",15%
NG5 8,"255,490",268,12,18%,,,15%,83,"40,400",9%
NG5 9,"187,750",204,6,30%,,,25%,140,"36,700",29%
NG6 0,"191,097",205,6,16%,897,5.60%,18%,112,"34,800",25%
NG6 7,"216,000",217,2,13%,,,10%,94,"32,000",24%
NG6 8,"199,770",205,9,11%,864,5.20%,6%,189,"32,900",22%
NG6 9,"175,500",195,6,14%,,,15%,118,"33,800",19%
NG7 1,"310,677",280,9,11%,"2,625",10.10%,9%,98,"39,300",11%
NG7 2,"261,345",278,5,29%,"2,251",10.30%,2%,108,"31,200",14%
NG7 3,"160,530",164,2,15%,"1,464",10.90%,,243,"30,300",35%
NG7 4,"159,703",223,3,21%,"1,663",12.50%,6%,238,"30,300",22%
NG7 5,"157,048",173,4,17%,974,7.40%,24%,257,"30,700",17%
NG7 6,"185,750",175,2,7%,"1,611",10.40%,22%,141,"33,300",15%
NG7 7,"166,454",165,5,14%,,,85%,238,"39,300",25%
NG8 1,"347,879",317,6,13%,"1,976",6.80%,8%,67,"43,000",13%
NG8 2,"349,872",321,7,10%,"1,315",4.50%,17%,59,"47,700",9%
NG8 3,"280,150",256,8,20%,,,17%,113,"35,300",26%
NG8 4,"210,231",188,4,23%,,,8%,118,"34,900",35%
NG8 5,"195,107",219,7,16%,,,18%,123,"35,500",29%
NG8 6,"218,333",231,7,26%,,,12%,177,"33,700",31%
NG9 1,"273,294",315,9,16%,"1,281",5.60%,10%,80,"42,100",9%
NG9 2,"271,998",287,8,11%,"1,704",7.50%,16%,117,"41,700",22%
NG9 3,"381,309",314,12,11%,,,13%,54,"50,700",6%
NG9 4,"399,450",268,3,15%,,,15%,74,"43,300",21%
NG9 5,"323,962",297,7,15%,,,11%,61,"43,100",11%
NG9 6,"334,485",316,9,13%,,,9%,49,"50,900",5%
NG9 7,"233,241",257,5,13%,,,4%,90,"39,000",6%
NG9 8,"228,703",238,8,11%,,,17%,113,"36,400",17%
NN1 1,"180,038",243,2,9%,874,5.80%,-53%,"1,027","40,900",26%
NN1 2,"139,000",206,3,11%,,,-5%,742,"36,900",45%
NN1 3,"184,999",227,7,24%,895,5.80%,-2%,231,"41,500",13%
NN1 4,"232,890",226,13,24%,881,4.50%,-2%,222,"44,700",11%
NN1 5,"223,810",245,9,30%,936,5.00%,8%,164,"44,200",11%
NN10 0,"263,003",258,16,15%,989,4.50%,8%,112,"40,600",5%
NN10 6,"300,200",269,5,14%,,,-4%,149,"41,400",4%
NN10 8,"330,926",278,5,11%,,,8%,67,"44,700",23%
NN10 9,"251,500",267,11,14%,,,8%,93,"43,600",13%
NN11 0,"311,381",290,4,11%,,,12%,58,"48,100",7%
NN11 2,"316,745",296,4,11%,,,8%,114,"47,200",8%
NN11 3,"384,451",304,7,17%,,,,33,"47,100",8%
NN11 4,"273,456",266,9,11%,,,14%,126,"41,000",23%
NN11 6,"481,000",325,2,7%,,,,45,"47,000",4%
NN11 8,"287,663",235,4,22%,,,4%,119,"48,100",18%
NN11 9,"235,655",256,5,19%,,,12%,69,"40,600",24%
NN12 6,"397,187",357,15,24%,,,7%,75,"48,800",8%
NN12 7,"420,199",359,7,7%,,,4%,41,"49,300",10%
NN12 8,"490,939",349,9,16%,,,9%,46,"52,900",8%
NN13 5,"559,365",359,4,16%,,,6%,49,"53,400",10%
NN13 6,"392,132",349,20,50%,,,12%,45,"51,200",2%
NN13 7,"312,421",326,7,37%,,,-3%,62,"48,500",9%
NN14 1,"405,988",290,10,12%,,,9%,46,"45,800",9%
NN14 2,"307,984",260,9,6%,,,7%,74,"43,600",7%
NN14 3,"462,803",328,4,8%,,,-1%,60,"48,300",6%
NN14 4,"342,528",281,12,18%,"1,317",4.60%,7%,56,"47,200",10%
NN14 6,"274,285",246,8,11%,"1,026",4.50%,12%,96,"40,900",9%
NN15 5,"300,573",276,15,13%,"1,165",4.70%,5%,67,"45,200",14%
NN15 6,"294,517",280,12,13%,,,6%,95,"42,100",10%
NN15 7,"263,718",274,6,10%,,,-3%,112,"39,700",13%
NN16 0,"187,437",199,6,18%,,,5%,266,"37,800",28%
NN16 8,"183,043",210,8,13%,916,6.00%,-2%,237,"39,100",15%
NN16 9,"272,500",246,9,15%,970,4.30%,11%,97,"42,400",22%
NN17 1,"213,414",243,7,13%,,,10%,162,"42,200",30%
NN17 2,"217,264",234,6,11%,,,4%,96,"38,800",20%
NN17 3,"375,822",290,4,4%,,,6%,62,"46,400",4%
NN18 0,"197,121",214,8,18%,,,5%,137,"37,400",22%
NN18 8,"280,057",254,16,12%,"1,059",4.50%,10%,92,"47,900",18%
NN18 9,"208,332",219,5,12%,,,6%,132,"39,700",22%
NN2 6,"226,463",236,6,9%,996,5.30%,-6%,187,"39,700",15%
NN2 7,"245,471",276,13,18%,"1,116",5.50%,-4%,123,"41,000",15%
NN2 8,"311,959",298,16,16%,,,3%,73,"41,800",10%
NN29 7,"339,575",289,11,16%,,,14%,55,"42,800",10%
NN3 2,"269,947",278,10,57%,,,10%,135,"41,600",16%
NN3 3,"396,054",310,13,27%,,,7%,56,"50,400",10%
NN3 5,"253,764",286,7,39%,,,12%,105,"41,900",20%
NN3 6,"302,574",304,12,42%,,,5%,121,"43,900",13%
NN3 7,"362,160",314,12,28%,,,10%,67,"48,000",14%
NN3 8,"210,650",231,7,26%,,,1%,140,"41,700",24%
NN3 9,"265,855",282,7,15%,,,2%,141,"46,300",7%
NN4 0,"374,546",340,11,16%,,,9%,71,"54,900",8%
NN4 5,"350,625",305,5,31%,,,7%,49,"52,000",7%
NN4 6,"357,327",316,13,19%,,,2%,65,"55,800",9%
NN4 8,"232,941",262,11,21%,"1,070",5.50%,6%,126,"44,300",19%
NN4 9,"373,256",313,13,38%,,,15%,87,"51,100",16%
NN5 4,"356,709",280,9,13%,,,3%,232,"54,300",16%
NN5 5,"218,809",259,6,25%,"1,072",5.90%,4%,175,"41,700",10%
NN5 6,"311,480",302,14,18%,"1,195",4.60%,9%,67,"45,100",19%
NN5 7,"254,130",253,5,22%,,,2%,133,"36,400",30%
NN6 0,"424,752",305,13,11%,,,2%,63,"44,800",6%
NN6 6,"431,333",290,3,18%,,,-6%,57,"50,900",8%
NN6 7,"390,914",307,8,15%,,,13%,88,"49,500",6%
NN6 8,"543,400",311,4,12%,,,-3%,64,"51,400",6%
NN6 9,"438,240",315,8,25%,,,9%,52,"51,200",11%
NN7 1,"471,500",319,2,8%,,,10%,43,"48,400",9%
NN7 2,"469,769",324,8,22%,,,9%,61,"51,200",7%
NN7 3,"410,383",327,6,13%,,,9%,40,"48,500",9%
NN7 4,"402,223",313,10,12%,"1,513",4.50%,7%,55,"46,900",11%
NN8 1,"266,262",267,9,8%,991,4.50%,-12%,213,"40,700",8%
NN8 2,"243,399",255,7,19%,,,9%,173,"40,100",12%
NN8 3,"282,729",255,9,13%,,,6%,112,"36,400",20%
NN8 4,"230,154",237,10,23%,,,20%,160,"41,000",12%
NN8 5,"328,228",286,7,23%,,,6%,50,"49,700",5%
NN9 5,"270,077",254,15,14%,,,2%,78,"40,800",12%
NN9 6,"318,102",287,13,10%,,,7%,78,"43,100",8%
NP10 8,"303,268",268,9,12%,,,8%,112,"43,700",10%
NP10 9,"326,341",289,11,20%,,,9%,83,"48,600",8%
NP11 3,"192,938",177,3,13%,,,17%,53,"37,800",12%
NP11 4,"202,320",197,6,14%,,,26%,76,"37,000",11%
NP11 5,"207,291",176,4,10%,,,16%,98,"35,700",31%
NP11 6,"193,244",196,8,22%,,,15%,110,"36,300",17%
NP11 7,"162,707",166,6,24%,,,15%,89,"36,600",18%
NP12 0,"261,326",211,4,7%,,,17%,64,"38,500",7%
NP12 1,"251,891",214,6,16%,,,7%,136,"39,400",16%
NP12 2,"272,876",214,6,12%,,,23%,81,"36,900",13%
NP12 3,"201,664",171,5,17%,,,16%,92,"34,500",19%
NP13 1,"134,957",125,8,16%,,,20%,153,"34,000",9%
NP13 2,"122,202",125,4,11%,,,12%,83,"31,600",17%
NP13 3,"145,463",144,4,16%,,,35%,128,"34,300",13%
NP15 1,"446,359",322,5,7%,,,-6%,38,"46,500",4%
NP16 5,"316,028",314,11,11%,,,15%,87,"41,700",13%
NP16 6,"619,655",353,4,6%,,,11%,30,"50,200",4%
NP16 7,"385,950",315,5,14%,,,12%,53,"52,000",2%
NP18 1,"408,100",282,3,8%,,,9%,70,"44,400",6%
NP18 2,"420,644",291,6,9%,,,7%,66,"47,100",3%
NP18 3,"313,093",269,6,24%,,,-1%,61,"44,500",3%
NP19 0,"165,551",190,9,21%,,,13%,161,"37,700",21%
NP19 4,"272,748",270,7,8%,,,7%,300,"36,900",12%
NP19 7,"221,331",205,11,22%,,,-1%,137,"39,100",15%
NP19 8,"226,392",196,10,20%,,,13%,107,"37,900",9%
NP19 9,"208,387",214,6,14%,,,8%,125,"34,400",36%
NP20 2,"214,076",239,4,9%,,,8%,357,"35,200",18%
NP20 3,"236,849",231,10,21%,,,11%,117,"38,100",21%
NP20 4,"268,353",193,6,15%,965,4.30%,3%,215,"39,300",17%
NP20 5,"301,560",206,7,14%,,,4%,110,"40,800",16%
NP20 6,"249,933",244,5,20%,,,23%,77,"39,700",20%
NP20 7,"166,346",184,3,23%,,,12%,161,"33,800",38%
NP22 3,"173,179",148,3,6%,,,3%,176,"34,300",25%
NP22 4,"171,441",162,4,11%,,,3%,97,"34,500",30%
NP22 5,"135,595",117,3,11%,,,15%,152,"31,700",14%
NP23 4,"198,969",170,6,12%,,,11%,133,"34,200",23%
NP23 5,"216,421",175,4,9%,,,19%,90,"34,800",22%
NP23 6,"141,013",138,9,20%,,,10%,168,"35,200",12%
NP24 6,"110,279",102,4,20%,,,10%,134,"31,700",7%
NP25 3,"412,088",314,8,12%,,,2%,80,"38,700",15%
NP25 4,"605,652",338,3,8%,,,16%,43,"48,800",7%
NP25 5,"370,971",294,5,9%,,,14%,77,"39,800",4%
NP26 3,"384,623",312,6,7%,,,14%,57,"47,400",5%
NP26 4,"311,576",292,4,9%,,,24%,105,"39,200",14%
NP26 5,"340,270",292,4,7%,,,14%,54,"42,900",6%
NP4 0,"285,956",258,6,14%,,,3%,52,"42,400",8%
NP4 5,"217,934",210,4,10%,,,11%,84,"38,100",18%
NP4 6,"186,262",171,6,18%,,,12%,132,"34,100",14%
NP4 7,"229,734",193,3,11%,,,27%,103,"34,100",9%
NP4 8,"256,590",204,3,7%,,,17%,97,"34,300",9%
NP4 9,"150,645",168,5,10%,,,12%,125,"33,800",21%
NP44 1,"244,029",233,6,12%,,,-11%,214,"35,300",20%
NP44 2,"230,833",221,2,9%,,,4%,72,"37,600",16%
NP44 3,"252,766",241,8,18%,,,,151,"38,900",22%
NP44 4,"173,333",166,3,13%,,,8%,125,"36,600",31%
NP44 5,"259,825",199,3,20%,,,17%,110,"35,500",37%
NP44 6,"352,689",260,3,13%,,,11%,38,"40,500",9%
NP44 7,"245,000",203,4,29%,,,10%,97,"38,700",12%
NP44 8,"346,779",219,3,13%,,,20%,120,"40,400",7%
NP7 0,"340,688",275,3,6%,,,16%,35,"42,300",2%
NP7 5,"252,304",281,6,16%,,,11%,163,"39,100",17%
NP7 6,"311,144",276,4,19%,,,22%,103,"36,700",28%
NP7 7,"460,288",339,2,10%,,,25%,55,"40,000",4%
NP7 8,"589,474",337,,,,,,35,"42,100",4%
NP7 9,"442,633",315,5,12%,,,14%,55,"43,000",6%
NP8 1,"455,250",327,2,5%,,,21%,45,"43,700",3%
NR1 1,"209,286",289,12,10%,"1,089",6.20%,24%,452,"42,300",17%
NR1 2,"246,817",298,7,16%,,,3%,81,"39,800",32%
NR1 3,"199,193",295,6,5%,"1,251",7.50%,8%,415,"41,300",26%
NR1 4,"252,046",283,5,18%,,,12%,171,"38,800",20%
NR10 3,"335,937",311,11,15%,,,1%,42,"43,500",10%
NR10 4,"366,438",319,6,17%,,,16%,43,"44,000",6%
NR10 5,"378,435",278,4,13%,,,9%,50,"44,600",7%
NR11 6,"344,704",315,8,14%,,,8%,58,"41,300",9%
NR11 7,,333,4,24%,,,-17%,24,"41,000",11%
NR11 8,"366,058",320,6,6%,,,18%,44,"39,000",10%
NR12 0,"365,946",301,5,8%,,,-3%,43,"39,200",4%
NR12 7,"440,000",328,2,6%,,,18%,34,"46,500",8%
NR12 8,"485,421",352,7,7%,,,6%,47,"42,700",6%
NR12 9,"302,571",278,7,11%,,,-1%,75,"36,400",9%
NR13 3,"319,306",303,5,11%,,,3%,42,"41,400",13%
NR13 4,"397,750",305,8,11%,,,8%,35,"45,300",12%
NR13 5,"359,082",316,7,10%,,,5%,46,"48,000",5%
NR13 6,"403,406",325,5,6%,,,-15%,55,"47,900",9%
NR14 6,"326,614",306,8,13%,,,8%,53,"46,000",8%
NR14 7,"392,553",307,6,13%,,,8%,43,"48,700",10%
NR14 8,"418,068",322,7,14%,,,11%,30,"50,100",9%
NR15 1,"528,107",315,5,9%,,,1%,28,"50,000",8%
NR15 2,"376,086",296,5,8%,,,5%,49,"44,800",6%
NR16 1,"500,383",308,3,6%,,,25%,32,"46,400",6%
NR16 2,"393,111",290,3,5%,,,6%,41,"46,200",7%
NR17 1,"395,485",301,6,6%,,,9%,48,"46,100",5%
NR17 2,"301,630",285,8,9%,,,3%,46,"45,400",5%
NR18 0,"299,369",312,18,21%,"1,053",4.20%,8%,90,"44,600",7%
NR18 9,"380,849",307,6,7%,,,6%,57,"47,800",6%
NR19 1,"267,772",272,12,14%,920,4.10%,4%,80,"39,600",6%
NR19 2,"277,500",276,9,17%,,,4%,78,"41,500",11%
NR2 1,"278,333",331,3,10%,,,115%,"1,465","37,700",29%
NR2 2,"345,758",340,8,16%,"1,418",4.90%,3%,82,"45,900",16%
NR2 3,"296,692",329,12,19%,"1,589",6.40%,3%,51,"48,800",14%
NR2 4,"209,844",274,6,15%,"1,225",7.00%,9%,215,"36,900",35%
NR20 3,"378,290",291,4,4%,,,,50,"43,800",9%
NR20 4,"347,778",288,5,11%,,,8%,34,"44,300",9%
NR20 5,"460,498",309,3,7%,,,-22%,34,"44,400",8%
NR21 0,"437,574",342,4,9%,,,-8%,36,"40,800",14%
NR21 7,"294,500",272,2,7%,,,2%,42,"40,100",6%
NR21 8,"311,294",277,6,12%,,,8%,51,"38,400",16%
NR21 9,"353,885",297,4,9%,,,-6%,70,"39,200",16%
NR23 1,"450,794",465,3,10%,,,-21%,54,"41,000",13%
NR24 2,"375,856",303,3,5%,,,,39,"41,400",8%
NR25 6,"416,635",368,5,5%,,,10%,59,"39,900",20%
NR25 7,"572,495",485,3,7%,,,10%,36,"40,500",14%
NR26 8,"332,773",327,11,17%,,,10%,41,"40,100",10%
NR27 0,"320,625",329,6,9%,,,7%,50,"37,000",11%
NR27 9,"348,182",336,7,7%,884,3.00%,-1%,89,"37,000",12%
NR28 0,"318,229",299,13,17%,,,5%,50,"38,000",12%
NR28 9,"320,059",291,5,8%,,,7%,73,"38,800",8%
NR29 3,"329,765",281,7,7%,,,36%,45,"39,200",8%
NR29 4,"242,580",272,12,8%,,,25%,51,"39,300",9%
NR29 5,"302,063",309,3,4%,,,-1%,36,"40,300",10%
NR3 1,"257,431",308,6,12%,"1,220",5.70%,-19%,269,"39,900",31%
NR3 2,"219,000",257,5,14%,"1,180",6.50%,15%,139,"37,600",37%
NR3 3,"234,737",277,9,20%,,,5%,136,"39,600",29%
NR3 4,"219,231",279,13,27%,"1,012",5.50%,10%,79,"41,200",21%
NR30 1,"157,615",167,5,13%,,,28%,294,"32,800",21%
NR30 2,"155,482",136,6,10%,,,-24%,449,"31,700",16%
NR30 3,"156,868",148,4,14%,726,5.60%,7%,247,"31,400",35%
NR30 4,"220,781",193,5,10%,,,10%,120,"34,400",24%
NR30 5,"268,669",284,8,10%,,,7%,54,"35,100",6%
NR31 0,"145,483",169,10,20%,,,4%,153,"33,400",23%
NR31 6,"248,871",210,7,6%,,,8%,94,"37,400",7%
NR31 7,"204,032",230,5,12%,,,6%,76,"34,800",29%
NR31 8,"260,833",270,12,13%,,,8%,53,"37,600",17%
NR31 9,"307,100",284,12,8%,,,15%,66,"39,100",6%
NR32 1,"142,111",164,3,8%,,,3%,436,"30,400",31%
NR32 2,"143,590",178,8,12%,,,11%,162,"31,500",17%
NR32 3,"273,019",280,9,11%,,,7%,49,"36,900",9%
NR32 4,"293,100",263,10,14%,,,3%,91,"35,500",14%
NR32 5,"366,000",295,3,8%,,,7%,41,"42,100",4%
NR33 0,"220,110",201,6,10%,829,4.50%,8%,174,"31,500",17%
NR33 7,"228,333",274,8,10%,,,7%,62,"35,400",15%
NR33 8,"281,372",285,14,12%,,,12%,41,"38,100",5%
NR33 9,"240,317",260,6,10%,,,23%,80,"35,300",10%
NR34 0,"441,191",305,2,6%,,,12%,46,"45,200",7%
NR34 7,"348,857",299,7,14%,,,-1%,48,"41,100",5%
NR34 8,"454,970",307,,,,,-6%,53,"40,100",11%
NR34 9,"273,257",291,10,15%,,,2%,83,"37,400",16%
NR35 1,"299,733",284,2,4%,,,-5%,69,"40,300",7%
NR35 2,"339,061",306,4,8%,,,9%,46,"42,500",5%
NR4 6,"424,595",336,7,16%,,,-1%,91,"48,600",10%
NR4 7,"387,110",329,12,14%,"1,912",5.90%,5%,92,"45,000",21%
NR5 0,"321,705",289,7,13%,,,6%,116,"46,100",21%
NR5 8,"270,667",280,4,8%,"2,037",9.00%,,116,"37,700",36%
NR5 9,"253,214",272,4,11%,"1,592",7.50%,13%,86,"38,500",34%
NR6 5,"305,294",291,5,11%,,,6%,88,"40,500",22%
NR6 6,"259,884",287,7,11%,,,5%,64,"41,100",19%
NR6 7,"308,600",313,9,14%,,,6%,40,"45,700",11%
NR7 0,"338,560",335,12,13%,"1,101",3.90%,-1%,53,"49,000",12%
NR7 8,"296,546",300,15,27%,,,10%,57,"42,400",11%
NR7 9,"270,600",277,4,13%,,,13%,82,"37,300",23%
NR8 5,"293,756",266,11,21%,,,7%,54,"46,400",9%
NR8 6,"347,426",326,9,12%,,,9%,31,"49,200",8%
NR9 3,"364,596",317,8,10%,,,14%,45,"51,500",17%
NR9 4,"404,677",306,3,9%,,,11%,32,"47,700",7%
NR9 5,"349,774",311,5,12%,,,13%,42,"48,300",9%
NW1 0,"579,733",872,2,4%,"2,636",5.50%,4%,291,"52,600",45%
NW1 1,"518,329",751,3,22%,,,-18%,240,"47,900",60%
NW1 2,,852,,,"2,761",,,"1,229","50,000",58%
NW1 3,"654,059",920,2,6%,"2,816",5.20%,,129,"48,200",68%
NW1 4,"3,499,437","1,481",3,4%,"32,221",11.00%,-7%,174,"64,600",15%
NW1 5,"1,115,459","1,082",2,3%,"3,911",4.20%,-9%,337,"69,500",22%
NW1 6,"774,177","1,092",3,3%,"2,983",4.60%,-3%,252,"73,900",30%
NW1 7,"799,941","1,051",4,7%,"3,720",5.60%,21%,410,"63,600",24%
NW1 8,"1,145,832","1,136",4,6%,"3,327",3.50%,28%,322,"59,300",36%
NW1 9,"686,400",909,4,6%,"2,489",4.40%,3%,165,"57,100",40%
NW10 0,"392,617",500,,,,,,170,"44,000",39%
NW10 1,"670,969",634,3,4%,"2,528",4.50%,,133,"51,300",20%
NW10 2,"496,550",636,2,4%,"1,853",4.50%,-10%,177,"49,000",28%
NW10 3,"925,354",769,5,15%,"2,705",3.50%,6%,81,"56,600",37%
NW10 4,"494,887",592,2,3%,,,-13%,223,"42,900",35%
NW10 5,"698,279",798,7,8%,"2,443",4.20%,13%,103,"58,300",22%
NW10 6,"576,988",671,4,13%,"2,820",5.90%,51%,309,"48,900",21%
NW10 7,"454,353",592,2,4%,"2,197",5.80%,,506,"55,100",40%
NW10 8,"376,029",488,2,6%,,,157%,123,"43,700",56%
NW10 9,"451,826",546,5,10%,,,-32%,136,"42,100",44%
NW11 0,"1,155,435",742,2,4%,"2,445",2.50%,-3%,68,"57,500",4%
NW11 6,"1,106,250",861,7,20%,"3,061",3.30%,-3%,88,"66,300",7%
NW11 7,"952,500",817,6,10%,"2,359",3.00%,11%,123,"63,300",3%
NW11 8,"1,061,165",722,2,4%,"3,233",3.70%,2%,184,"59,700",8%
NW11 9,"814,041",653,3,6%,"2,370",3.50%,3%,87,"49,700",7%
NW2 1,"633,306",662,3,7%,"1,767",3.30%,1%,149,"50,700",25%
NW2 2,"628,039",731,4,5%,"2,667",5.10%,-15%,110,"54,200",13%
NW2 3,"532,024",702,3,4%,"1,897",4.30%,-16%,178,"60,700",23%
NW2 4,"656,283",705,5,11%,"1,988",3.60%,36%,114,"56,500",20%
NW2 5,"556,977",669,3,4%,"1,917",4.10%,47%,103,"52,400",23%
NW2 6,"659,664",596,4,5%,"1,990",3.60%,-10%,127,"52,400",22%
NW2 7,"548,867",539,3,6%,,,-1%,126,"47,500",15%
NW3 1,"1,614,406","1,349",3,10%,"6,175",4.60%,-3%,136,"88,300",6%
NW3 2,"851,243","1,054",7,10%,"3,257",4.60%,-46%,126,"72,900",31%
NW3 3,"1,352,500","1,123",9,10%,"4,905",4.40%,-6%,103,"67,300",13%
NW3 4,"913,091","1,094",6,7%,"2,628",3.50%,13%,95,"79,800",10%
NW3 5,"1,520,971","1,153",5,9%,"5,423",4.30%,-3%,122,"83,800",8%
NW3 6,"1,042,922","1,061",2,5%,"4,451",5.10%,,231,"81,500",12%
NW3 7,"1,777,419","1,080",3,3%,"4,525",3.10%,-28%,87,"82,900",7%
NW4 1,"639,117",582,6,6%,"1,931",3.60%,-12%,80,"55,800",3%
NW4 2,"740,963",662,6,10%,"1,841",3.00%,4%,109,"54,100",7%
NW4 3,"571,245",576,3,6%,"1,962",4.10%,-5%,195,"52,300",8%
NW4 4,"541,293",577,5,5%,"1,596",3.50%,2%,127,"53,400",6%
NW5 1,"906,188",952,5,13%,,,30%,111,"66,700",33%
NW5 2,"758,036",897,4,9%,"2,155",3.40%,-26%,139,"60,600",37%
NW5 3,"619,565",912,2,6%,,,-1%,187,"52,300",46%
NW5 4,"527,083",795,3,8%,"2,789",6.30%,-7%,101,"54,700",59%
NW6 1,"830,155",901,8,10%,"2,270",3.30%,-7%,92,"72,200",22%
NW6 2,"677,060",910,7,9%,,,-15%,248,"67,200",32%
NW6 3,"849,679",965,6,13%,"2,524",3.60%,-2%,91,"84,900",19%
NW6 4,"774,061",831,4,6%,"2,839",4.40%,-9%,225,"56,100",27%
NW6 5,"552,331",804,5,6%,"3,020",6.60%,-30%,184,"51,700",56%
NW6 6,"723,663",950,10,23%,"2,501",4.10%,35%,147,"59,900",16%
